#,Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Generation
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1
3,Venusaur-Mega,Grass,Poison,625,80,100,123,122,120,80,1
4,Charmander,Fire,nan,309,39,52,43,60,50,65,1
5,Charmeleon,Fire,nan,405,58,64,58,80,65,80,1
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1
6,Charizard-Mega_X,Fire,Dragon,634,78,130,111,130,85,100,1
6,Charizard-Mega_Y,Fire,Flying,634,78,104,78,159,115,100,1
7,Squirtle,Water,nan,314,44,48,65,50,64,43,1
8,Wartortle,Water,nan,405,59,63,80,65,80,58,1
9,Blastoise,Water,nan,530,79,83,100,85,105,78,1
9,Blastoise-Mega,Water,nan,630,79,103,120,135,115,78,1
10,Caterpie,Bug,nan,195,45,30,35,20,20,45,1
11,Metapod,Bug,nan,205,50,20,55,25,25,30,1
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1
15,Beedrill-Mega,Bug,Poison,495,65,150,40,15,80,145,1
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1
18,Pidgeot-Mega,Normal,Flying,579,83,80,80,135,80,121,1
19,Rattata,Normal,nan,253,30,56,35,25,35,72,1
19,Rattata-A,Normal,nan,253,30,56,35,25,35,72,1
20,Raticate,Normal,Flying,413,55,81,60,50,70,97,1
20,Raticate-A,Normal,Flying,413,75,71,70,40,80,77,1
21,Spearow,Poison,nan,262,40,60,30,31,31,70,1
22,Fearow,Poison,nan,442,65,90,65,61,61,100,1
23,Ekans,Electric,nan,288,35,60,44,40,54,55,1
24,Arbok,Electric,nan,448,60,95,69,65,79,80,1
25,Pikachu,Ground,nan,320,35,55,40,50,50,90,1
